sentence,llm_label
"It's I love it or hate it, right?",1.0
Like I see a lot of competitors of vendors using it.,0.0
"I was going in the direction here, which was thinking you know a lot of and then I called them key iterations the sort of specific things.",0.0
"Well, it was just me just as you were offensive.",1.0
"And then, for, if the vendor builds, like, builds themselves as a platform, then we should specifically call out that they have zero.",0.0
For the purposes of front end working on it because front end was going to work on it without a mockup.,0.0
So it may end up Cindy being you and I just picked the one that we want to do and then they can back us up.,0.0
"Can't believe this is always a little bit tough and I'm not totally sure of all of the kind of the interplay here, but I think this is kind of the general gist of this assignment is okay, we have commit coming up.",1.0
So it kind of combines confidence or more speed less risk high confidence.,1.0
Each one has the same.,0.0
This this gets into the no trade offs.,1.0
"For example, Corn Mack was saying, like, epic boards is something that was asked for for a long time.",1.0
It's got on that one I just the there's a the diff highlights of what is new content I believe.,1.0
We would have monitor based competitors or was in that the understanding because we identified that entire list of competitors and partners for every single stage.,1.0
"My guess was or my understanding was that we wouldn't have the same set of competitors that we're going to compare to, but the right competitors for that particular stage.",0.0
"I mean, that was one of the more important ones, but it's not very exciting, but we can bundle that with some other things and up level it.",1.0
Manage is even less descriptive than that.,0.0
"It's like, okay, 15, 15 features.",0.0
"So what do you think, Sydney?",1.0
But I know that kind of catchy is not everyone's cup of tea.,1.0
"So this was like, it was just your iteration of it.",0.0
"Bam no trade offs, you know, just this is how it is.",1.0
"So, for those platform, you know, we should call out the fact that they don't have any monitoring.",1.0
There's something catchy about this.,1.0
"So for example, for for monitor, we may not have like a GitHub or something like that.",0.0
Okay thank you all for the feedback.,0.0
So super excited for that they should start dropping any day now I think starting this week.,1.0
"Yeah, I thought it was good to emphasize both because they mean that it's nuts.",0.0
I mean Eric pointed this out in the next line I do think we are due for a rethink of how we're doing the kickoff because we're going to have next month we're going to have 25 people trying to give content and even at two minutes you're already gone so yeah we expand it.,1.0
"And I know that plans done a pretty good job at least in the past of kind of running ahead of UX and saying like, okay this is kind of what I think I want this to look like before spending UX cycles on making a more high-fi mockup.",1.0
Those those two popped out at me is yeah that's the problem we're trying to solve.,1.0
"It just seems like the right time to do this, right?",1.0
I mean use your judgment if it doesn't need it fine but where we do need design it'd be great to get at least a month ahead so as we roll into dev we have that to offer them.,1.0
"I think from a competitive mindset, and for me, I'm like, let's go hard.",1.0
"Well, I thought it was supposed to be that none of them should be GitLab only, right?",0.0
"At GILAP, it's really, really tough to make product announcements because our entire roadmap is completely public.",0.0
I also like the idea of asking internal and external constituents with a like or don't like about the format.,1.0
"So yeah, the goals have a comparison comparing DevOps tools.",1.0
"It was kind of one of the things, but there's some other stuff that's a little juicier than that.",1.0
It's like a bucket of capabilities that is probably worth talking about.,0.0
Thanks for the link to SOMI on the rolls.,0.0
One of which is sort of this flow chart showing how mature we're going to be at a given point in time which raised questions about whether we were forecasting that accurately.,0.0
"Yeah, Jenkins Cloudbees does not.",1.0
Probably we'll not get another chump at that so I think let's go with vulnerability management.,0.0
Everybody in the team is on the same page with respect to this book.,0.0
"So yeah, so I don't think I like that one.",1.0
"You know, it's pretty cool.",0.0
That may not be relevant for monitor.,0.0
I like that a lot.,0.0
I just want to like if the intent was to make sure we we're just clarifying that same position but if we're saying actually we should kind of pull back from the push for more dog footing.,1.0
"Oh was that was that from- No, but it could have been.",1.0
"And you can't say with GitLab, you get move fast with confidence.",0.0
So here I was trying to like envision what is it that we actually give you with this velocity?,1.0
"Brian asked.Yeah, because the way without it, you're basically putting all the things that we're better at.",0.0
"Yeah, we should, I think you asked me that before, right?",1.0
